SPECIES,SPECIESclade,SPECIESclade2,SPECIESclade3,POP,IND,IND2,Latitud,Longitud,Nota
C_boryana,C_boryana,C_boryana,C_boryana,POP11,C19ME24_10,C19ME24_10,-21.179244,55.379509,Same coordinates than individual 2 from the population
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP12,C20ME24_5,C20ME24_05,-21.092446,55.393812,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP12,C20ME24_6,C20ME24_06,-21.092427,55.393949,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP12,C20ME24_4,C20ME24_04,-21.092407,55.393925,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP12,C20ME24_2,C20ME24_02,-21.092402,55.393924,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP12,C20ME24_3,C20ME24_03,-21.092402,55.393924,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP12,C20ME24_7,C20ME24_07,-21.092385,55.393869,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP12,C20ME24_1,C20ME24_01,-21.092377,55.393949,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP12,C20ME24_9,C20ME24_09,-21.092306,55.393527,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP12,C20ME24_10,C20ME24_10,-21.092279,55.393503,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP12,C20ME24_8,C20ME24_08,-21.092276,55.393595,
hybrid,C_borbonica,C_borbonica,C_borbonica,POP12,C62JMC17hib_A,C62JMC17hib_A,-21.092372,55.393433,
hybrid,C_borbonica,C_borbonica,C_borbonica,POP12,C62JMC17hib_B,C62JMC17hib_B,-21.092372,55.393433,
hybrid,C_borbonica,C_borbonica,C_borbonica,POP12,C62JMC17hib_C,C62JMC17hib_C,-21.092372,55.393433,
hybrid,C_borbonica,C_borbonica,C_borbonica,POP12,C62JMC17hib_D,C62JMC17hib_D,-21.092372,55.393433,
hybrid,C_borbonica,C_borbonica,C_borbonica,POP12,C62JMC17hib_E,C62JMC17hib_E,-21.092372,55.393433,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP13,C21ME24_4,C21ME24_04,-21.088774,55.392878,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP13,C21ME24_3,C21ME24_03,-21.088729,55.3928,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP13,C21ME24_5,C21ME24_05,-21.088557,55.392603,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP13,C21ME24_2,C21ME24_02,-21.088472,55.393061,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP13,C21ME24_1,C21ME24_01,-21.088362,55.393173,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP13,C22ME24_1,C22ME24_01,-21.087616,55.392009,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP13,C22ME24_2,C22ME24_02,-21.087599,55.391964,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP13,C22ME24_3,C22ME24_03,-21.087522,55.391799,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP13,C22ME24_4,C22ME24_04,-21.087506,55.391795,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP13,C22ME24_5,C22ME24_05,-21.087455,55.391678,
C_borbonica,C_borbonica,hybrid,hybrid,POP14,C23ME24_2,C23ME24_02,-21.083677,55.389475,
C_borbonica,C_borbonica,hybrid,hybrid,POP14,C23ME24_3,C23ME24_03,-21.083675,55.389479,
C_borbonica,C_borbonica,hybrid,hybrid,POP14,C23ME24_5,C23ME24_05,-21.083666,55.389521,
C_borbonica,C_borbonica,C_borbonica,hybrid,POP14,C23ME24_1,C23ME24_01,-21.083662,55.389439,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP14,C23ME24_4,C23ME24_04,-21.083619,55.389496,
C_boryana,C_boryana,C_boryana,C_boryana,POP15,C24ME24_1,C24ME24_01,-21.042328,55.351351,
